profile_name,Origin_X,Origin_Y,Azimuth,Project,,NSOrder,,Station,,Street,Town,ProjDuneEl,ProjBermEl,ProjBermW,ClosureDep,MHW_Elev,MLW_Elev,StormLine,CSDPLine,
MA002,"622,294.690","461,620.859",104.380,"Manasquan Inlet to Barnegat Inlet, NJ",1,2,,6+00,600,Franklin Way,"Point Pleasant Beach, NJ",18.00,11.00,100.00,-15.00,1.88,-2.55,No,No,
MA003,"622,195.360","461,233.388",104.380,"Manasquan Inlet to Barnegat Inlet, NJ",1,3,,10+00,1000,Hayes Ct.,"Point Pleasant Beach, NJ",22.00,11.00,40.00,-16.00,1.5,-2.77,No,No,
MA004,"622,071.197","460,749.050",104.380,"Manasquan Inlet to Barnegat Inlet, NJ",1,4,,15+00,1500,Water St.,"Point Pleasant Beach, NJ",18.00,11.00,100.00,-16.00,1.88,-2.77,No,No,
MA005,"621,947.034","460,264.712",104.380,"Manasquan Inlet to Barnegat Inlet, NJ",1,5,,20+00,2000,Limroth Row,"Point Pleasant Beach, NJ",22.00,11.00,40.00,-17.00,1.5,-2.77,No,No,
MA006,"621,822.872","459,780.373",104.380,"Manasquan Inlet to Barnegat Inlet, NJ",1,6,,25+00,2500,Jenkinson's Aquarium,"Point Pleasant Beach, NJ",18.00,11.00,100.00,-18.00,1.88,-2.77,No,No,
MA007,"621,698.709","459,296.035",104.380,"Manasquan Inlet to Barnegat Inlet, NJ",1,7,,30+00,3000,Central Ave.,"Point Pleasant Beach, NJ",22.00,11.00,40.00,-18.00,1.5,-2.77,No,No,
MA008,"621,574.547","458,811.696",104.380,"Manasquan Inlet to Barnegat Inlet, NJ",1,8,,35+00,3500,Jenkinson's Amusement Center,"Point Pleasant Beach, NJ",18.00,11.00,100.00,-19.00,1.5,-2.77,No,No,
MA009,"621,450.384","458,327.358",104.380,"Manasquan Inlet to Barnegat Inlet, NJ",1,9,,40+00,4000,Trenton Ave.,"Point Pleasant Beach, NJ",22.00,11.00,40.00,-19.00,1.5,-2.77,No,No,
MA010,"621,326.222","457,843.020",104.380,"Manasquan Inlet to Barnegat Inlet, NJ",1,10,,45+00,4500,Forman Ave.,"Point Pleasant Beach, NJ",18.00,11.00,100.00,-19.00,1.5,-2.77,No,No,
MA011,"621,202.059","457,358.681",104.380,"Manasquan Inlet to Barnegat Inlet, NJ",1,11,,50+00,5000,New Jersey Ave.,"Point Pleasant Beach, NJ",22.00,11.00,40.00,-21.00,1.5,-2.77,No,Yes,
MA012,"621,099.959","456,857.848",101.370,"Manasquan Inlet to Barnegat Inlet, NJ",1,12,,55+00,5500,btw NY & Phila. Ave.,"Point Pleasant Beach, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA013,"621,001.524","456,368.309",101.370,"Manasquan Inlet to Barnegat Inlet, NJ",1,13,,60+00,6000,Washington Ave.,"Point Pleasant Beach, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
