PROFILE ID, NORTHING (Y), EASTING (X), ELEVATION (Z)
MA063,431715.58,616827.81,22.55
MA063,431714.85,616831.95,22.62
MA063,431713.86,616838.23,22.43
MA063,431713.03,616844.5,22.35
MA063,431711.9,616851.47,22.36
MA063,431710.9,616856.84,22.16
MA063,431710.26,616861.77,22.11
MA063,431708.5,616865.69,22.07
MA063,431706.29,616872.53,21.04
MA063,431705.66,616877.55,20
MA063,431705.36,616884.58,18.77
MA063,431704.2,616888.19,18.02
MA063,431702.89,616892.97,17.24
MA063,431703.99,616897.78,16.62
MA063,431703.7,616901.58,16.03
MA063,431700.57,616907.24,15.56
MA063,431697.31,616911.04,15.61
MA063,431697.97,616917.63,15.82
MA063,431697.81,616924.14,15.63
MA063,431697.99,616927.6,15.7
MA063,431697,616931.93,15.05
MA063,431695.18,616936.65,14.42
MA063,431693.58,616942.6,13.82
MA063,431693.07,616947.74,13.05
MA063,431692.8,616951.25,12.87
MA063,431693.2,616956.14,12.55
MA063,431691.14,616962.89,12.32
MA063,431690.53,616968.36,12.32
MA063,431689.34,616973.48,12.08
MA063,431687.96,616978.31,11.96
MA063,431687.33,616983.86,11.83
MA063,431684.82,616989.33,11.65
MA063,431684.67,616994.24,11.53
MA063,431684.49,617000.85,11.38
MA063,431684.31,617006.58,11.37
MA063,431683.07,617011.43,11.31
MA063,431681.85,617016.55,11.28
MA063,431680.2,617021.23,11.06
MA063,431679.49,617024.92,11.26
MA063,431679.22,617026.93,11.15
MA063,431677.6,617035.35,11.03
MA063,431676.36,617041.32,10.11
MA063,431674.33,617046.86,9.54
MA063,431673.87,617050.72,9.03
MA063,431674.26,617055.82,8.37
MA063,431672.78,617061.97,7.54
MA063,431671.06,617067.81,6.54
MA063,431670.14,617072.69,6.09
MA063,431670.46,617076.78,5.84
MA063,431670.32,617077.05,5.84
MA063,431667.64,617082.6,5.43
MA063,431665.84,617091.44,4.7
MA063,431665,617092.93,4.45
MA063,431664.1,617097.47,4.16
MA063,431663.33,617101.18,3.98
MA063,431662.64,617105.59,3.4
MA063,431661.87,617110.19,2.79
MA063,431660.79,617115.13,2.19
MA063,431659.68,617119.28,1.55
MA063,431658.23,617123.69,0.87
MA063,431657.64,617128.03,0.37
MA063,431656.65,617132.18,-0.19
MA063,431655.71,617136.19,-0.79
MA063,431654.98,617140.9,-1.32
MA063,431654.55,617145.53,-1.93
MA063,431654.12,617149.61,-2.64
MA063,431652.99,617154.27,-3.17
MA063,431652.14,617158.63,-3.81
MA063,431651.42,617162.76,-4.22
MA063,431650.37,617166.47,-4.22
MA063,431649.4,617170.15,-4.2
MA063,431648.96,617174.08,-4.33
MA063,431648.37,617178.6,-4.39
MA063,431648.62,617181.66,-4.46
MA063,431648.63,617185.58,-4.32
MA063,431648,617189.44,-4.35
MA063,431647.62,617192.84,-4.44
MA063,431647.57,617193.15,-4.44
MA063,431647.5,617193.49,-4.45
MA063,431647.43,617193.85,-4.46
MA063,431647.36,617194.15,-4.48
MA063,431647.31,617194.51,-4.5
MA063,431647.26,617194.88,-4.49
MA063,431647.19,617195.26,-4.49
MA063,431647.13,617195.6,-4.51
MA063,431647.07,617195.96,-4.5
MA063,431647.02,617196.33,-4.52
MA063,431646.97,617196.66,-4.55
MA063,431646.9,617197.04,-4.57
MA063,431646.85,617197.43,-4.58
MA063,431646.79,617197.82,-4.59
MA063,431646.73,617198.17,-4.6
MA063,431646.68,617198.57,-4.58
MA063,431646.62,617198.98,-4.56
MA063,431646.55,617199.38,-4.55
MA063,431646.49,617199.73,-4.53
MA063,431646.42,617200.14,-4.54
MA063,431646.36,617200.5,-4.56
MA063,431646.29,617200.94,-4.57
MA063,431646.22,617201.34,-4.56
MA063,431646.15,617201.76,-4.54
MA063,431646.07,617202.14,-4.53
MA063,431646,617202.57,-4.54
MA063,431645.92,617203,-4.56
MA063,431645.84,617203.42,-4.57
MA063,431645.76,617203.8,-4.58
MA063,431645.66,617204.24,-4.6
