profile_name,Origin_X,Origin_Y,Azimuth
MA002,"622,294.69","461,620.86",104.38
MA003,"622,195.36","461,233.39",104.38
MA004,"622,071.20","460,749.05",104.38
MA005,"621,947.03","460,264.71",104.38
MA006,"621,822.87","459,780.37",104.38
MA007,"621,698.71","459,296.04",104.38
MA008,"621,574.55","458,811.70",104.38
MA009,"621,450.38","458,327.36",104.38
MA010,"621,326.22","457,843.02",104.38
MA011,"621,202.06","457,358.68",104.38
MA012,"621,099.96","456,857.85",101.37
MA013,"621,001.52","456,368.31",101.37
MA014,"620,902.96","455,878.12",101.37
MA015,"620,804.39","455,387.93",101.37
MA016,"620,705.83","454,897.74",101.37
MA017,"620,607.26","454,407.55",101.37
MA018,"620,508.70","453,917.37",101.37
MA019,"620,410.13","453,427.18",101.37
MA020,"620,311.57","452,936.99",101.37
MA021,"620,222.60","452,435.61",98.69
MA022,"620,147.05","451,941.35",98.69
MA023,"620,071.50","451,447.09",98.69
MA024,"619,995.94","450,952.83",98.69
MA025,"619,920.39","450,458.57",98.69
MA026,"619,844.84","449,964.32",98.69
MA027,"619,769.28","449,470.06",98.69
MA028,"619,693.73","448,975.80",98.69
MA029,"619,618.18","448,481.54",98.69
MA030,"619,542.62","447,987.28",98.69
MA031,"619,464.71","447,497.22",99.77
MA032,"619,379.87","447,004.47",99.77
MA033,"619,295.02","446,511.72",99.77
MA034,"619,210.17","446,018.98",99.77
MA035,"619,125.32","445,526.23",99.77
MA036,"619,040.48","445,033.48",99.77
MA037,"618,955.63","444,540.73",99.77
MA038,"618,870.78","444,047.98",99.77
MA039,"618,785.45","443,556.84",100.2
MA040,"618,696.90","443,064.75",100.2
MA041,"618,608.36","442,572.65",100.2
MA042,"618,519.81","442,080.55",100.2
MA043,"618,431.27","441,588.45",100.2
MA044,"618,342.72","441,096.36",100.2
MA045,"618,254.18","440,604.26",100.2
MA046,"618,165.64","440,112.16",100.2
MA047,"618,077.09","439,620.07",100.2
MA048,"617,988.55","439,127.97",100.2
MA049,"617,900.33","438,637.82",100.77
MA050,"617,806.93","438,146.62",100.77
MA051,"617,713.54","437,655.41",100.77
MA052,"617,620.15","437,164.21",100.77
MA053,"617,526.76","436,673.01",100.77
MA054,"617,433.37","436,181.81",100.77
MA055,"617,339.98","435,690.61",100.77
MA056,"617,246.58","435,199.41",100.77
MA057,"617,153.19","434,708.21",100.77
MA058,"617,059.80","434,217.01",100.77
MA059,"616,966.41","433,725.81",100.77
MA060,"616,872.95","433,234.86",100.83
MA061,"616,778.98","432,743.77",100.83
MA062,"616,685.01","432,252.68",100.83
MA063,"616,591.04","431,761.59",100.83
MA064,"616,497.07","431,270.50",100.83
MA065,"616,403.10","430,779.41",100.83
MA066,"616,309.13","430,288.32",100.83
MA067,"616,215.16","429,797.23",100.83
MA068,"616,121.19","429,306.14",100.83
MA069,"616,027.22","428,815.05",100.83
MA070,"615,933.25","428,323.96",100.83
MA071,"615,840.93","427,829.79",100.05
MA072,"615,753.68","427,337.46",100.05
MA073,"615,590.95","426,858.51",100.05
MA074,"615,579.17","426,352.80",100.05
MA075,"615,491.91","425,860.48",100.05
MA076,"615,404.66","425,368.15",100.05
MA077,"615,317.40","424,875.82",100.05
MA078,"615,230.15","424,383.49",100.05
MA079,"615,142.89","423,891.17",100.05
MA080,"615,055.64","423,398.84",100.05
MA081,"614,968.21","422,906.71",100.1
MA082,"614,880.53","422,414.46",100.1
MA083,"614,792.86","421,922.21",100.1
MA084,"614,705.18","421,429.96",100.1
MA085,"614,617.51","420,937.70",100.1
MA086,"614,529.83","420,445.45",100.1
MA087,"614,442.15","419,953.20",100.1
MA088,"614,354.48","419,460.94",100.1
MA089,"614,266.80","418,968.69",100.1
MA090,"614,179.13","418,476.44",100.1
MA091,"614,091.45","417,984.18",100.1
MA092,"614,019.32","417,480.84",97.75
MA093,"613,951.93","416,985.76",97.75
MA094,"613,884.49","416,490.33",97.75
MA095,"613,817.06","415,994.89",97.75
MA096,"613,749.62","415,499.46",97.75
MA097,"613,682.18","415,004.03",97.75
MA098,"613,614.75","414,508.60",97.75
MA099,"613,547.31","414,013.17",97.75
MA100,"613,479.87","413,517.74",97.75
MA101,"613,412.43","413,022.31",97.75
MA102,"613,345.00","412,526.88",97.75
MA103,"613,289.75","412,023.24",95.83
MA104,"613,238.97","411,525.82",95.83
MA105,"613,188.19","411,028.41",95.83
MA106,"613,137.40","410,530.99",95.83
MA107,"613,086.62","410,033.58",95.83
MA108,"613,035.84","409,536.16",95.83
MA109,"612,985.06","409,038.75",95.83
MA110,"612,934.28","408,541.33",95.83
MA111,"612,883.50","408,043.92",95.83
MA112,"612,821.69","407,557.74",98.71
MA113,"612,746.01","407,063.82",98.71
MA114,"612,670.28","406,569.58",98.71
MA115,"612,594.55","406,075.35",98.71
MA116,"612,518.82","405,581.12",98.71
MA117,"612,443.08","405,086.89",98.71
MA118,"612,367.35","404,592.66",98.71
MA119,"612,291.62","404,098.43",98.71
MA120,"612,215.89","403,604.20",98.71
MA121,"612,140.16","403,109.96",98.71
MA122,"612,064.43","402,615.73",98.71
MA123,"611,988.70","402,121.50",98.71
MA124,"611,911.85","401,630.85",99.68
MA125,"611,827.80","401,137.98",99.68
MA126,"611,743.74","400,645.10",99.68
MA127,"611,659.68","400,152.21",99.68
MA128,"611,575.63","399,659.33",99.68
MA129,"611,491.57","399,166.45",99.68
MA130,"611,407.52","398,673.56",99.68
MA131,"611,323.46","398,180.68",99.68
MA132,"611,239.40","397,687.79",99.68
MA133,"611,155.35","397,194.91",99.68
MA134,"611,071.29","396,702.03",99.68
MA135,"610,987.24","396,209.14",99.68
MA136,"610,908.47","395,712.22",98.78
MA137,"610,832.15","395,218.08",98.78
MA138,"610,755.83","394,723.94",98.78
MA139,"610,679.51","394,229.80",98.78
MA140,"610,603.19","393,735.66",98.78
MA141,"610,526.88","393,241.52",98.78
MA142,"610,437.00","392,749.47",98.78
MA143,"610,374.24","392,253.23",98.78
MA144,"610,297.92","391,759.09",98.78
MA145,"610,221.60","391,264.95",98.78
MA146,"610,145.29","390,770.81",98.78
MA147,"610,083.31","390,268.43",97.01
MA148,"610,022.33","389,772.16",97.01
LBI003,"604,435.82","338,067.03",118.38
LBI007,"604,277.36","337,773.77",118.38
LBI010,"604,119.03","337,480.76",118.35
LBI013,"603,960.44","337,187.25",118.38
LBI017,"603,801.97","336,893.99",118.38
LBI020,"603,643.78","336,601.22",118.32
LBI023,"603,485.05","336,307.47",118.38
LBI027,"603,326.59","336,014.21",118.38
LBI030,"603,168.53","335,721.69",118.28
LBI033,"603,009.67","335,427.69",118.38
LBI037,"602,851.21","335,134.43",118.38
LBI040,"602,693.28","334,842.16",118.25
LBI043,"602,534.29","334,547.91",118.38
LBI047,"602,375.83","334,254.65",118.38
LBI050,"602,218.03","333,962.62",118.21
LBI053,"602,058.91","333,668.13",118.38
LBI057,"601,900.45","333,374.87",118.38
LBI060,"601,742.78","333,083.09",118.18
LBI063,"601,583.53","332,788.35",118.38
LBI067,"601,425.07","332,495.09",118.38
LBI070,"601,267.54","332,203.55",117.89
LBI073,"601,108.15","331,908.57",118.38
LBI077,"600,949.69","331,615.31",118.38
LBI080,"600,801.76","331,319.36",115.68
